CountyLocation,TaxRate
Arkansas County,0.035
Ashley County,0.01
Baxter County,0.02
Benton County,0.02
Boone  County,0.01
Boone County,0.0175
Bradley County,0.02
Calhoun County,0.005
Carroll County,0.02375
Chicot County,0.02
Clark County,0.02
Clay County,0.02
Cleburne County,0.01
Cleveland County,0.01
Columbia County,0.02375
Conway County,0.02
Craighead County,0.02
Crawford County,0.015
Crittenden County,0.02
Cross County,0.01
Dallas County,0.015
Desha County,0.03
Drew County,0.01
Faulkner County,0.02625
Franklin County,0.02
Fulton County,0.02
Garland County,0.015
Grant County,0.02
Greene County,0.01
Hempstead County,0.015
Hot Spring County,0.03
Howard County,0.01
Independence County,0.02
Izard County,0.03
Jackson County,0.015
Jefferson County,0.02
Johnson County,0.02
Lafayette County,0.01
Lawrence County,0.02
Lee County,0.02
Lincoln County,0.0125
Little River County,0.02
Logan County,0.013333333
Lonoke County,0.03
Madison County,0.02
Marion County,0.02
Miller County,0.025
Mississippi County,0.01
Monroe County,0.03
Montgomery County,0.01
Nevada County,0.01
Newton County,0.01
Ouachita County,0.0175
Perry County,0.01
Phillips County,0.02
Pike County,0.01
Poinsett County,0.015
Polk County,0.02
Pope County,0.02
Prairie County,0.03
Pulaski County,0.01125
Randolph County,0.02
Saint Francis County,0.01875
Saline County,0.02
Scott County,0.02
Searcy County,0.01
Sebastian County,0.02
Sevier County,0.03
Sharp County,0.01
Stone County,0.02
Union County,0.0125
Van Buren County,0.015
Washington County,0.03
White County,0.0125
Woodruff County,0.01
Yell County,0.015
